index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,"Delicious! I would suggest maybe letting the meat drain in a colander as there was no way the meat was ever going to crisp in all that liquid. The cucumbers are a must here- the tartness balances the overall sweetness of the marinade and sauce.<br/><br/>For those who harp on the calorie count: look at the ingredients, figure out how to make it work for you, tell us the tweaks. All the mayo will not get used. Skip some oil. It is so tiresome to constantly read comments about calorie heavy recipes.",comment,15548414,325,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,791,negative,Didn't like recipe due to technique or equipment
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,"I cooked the brisket, with all the Bulgogi ingredients listed, in my slow cooker for 4 hours on high and it was amazing. Also, I highly recommend making the Light Brioche Buns, by Jane Sigal if you have the time!",comment,71133436,137,positive_user_describing_changes,5,791,positive,Liked recipe but made changes
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,"I used flank steak b/c the Wegman's I went to had gigantic briskets & I was only cooking for my husband & me. I half-froze it, sliced it very thinly against the grain, then marinated it according to recipe. Used fat-free plain Greek yogurt w/ a dollop of mayo, the soy sauce & Sriracha. Added a packaged salad mix of shredded red cabbage, green cabbage, brussels sprouts, etc. to the scallion salsa, creating a 'slaw' effect. Fast and easy recipe that was very good.",comment,57060720,70,positive_user_describing_changes,5,791,positive,Liked recipe but made changes
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,"For my vegetarian household, I substituted seitan for the brisket, and used a bit of sesame oil for browning it.  Everything else as specified in the recipe... The results were fabulous, and got even better after the leftovers sat in the fridge for a few days, seeping in the pleasantly warm flavors.  Our new favorite!",comment,65782933,62,positive_user_describing_changes,5,791,positive,Liked recipe but made changes
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,"Put the whole piece of brisket in the freezer for an hour or so, making it quite firm. It will make slicing it thin much easier.",comment,72381463,46,maybe_not_about_the_recipe,5,791,neutral,Off-topic
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,Is the brisket pre-cooked?,comment,56684648,44,question,5,791,neutral,Commenter asking a question
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,The Asian pear is the tenderizer.  Could also use a kiwi.,comment,53325451,38,user_responding_to_other_user,5,791,neutral,Commenter responding to other commenter
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,"Made it with brisket after all. No problem slicing thin enough when slightly frozen. But brisket isn't a great choice for this - too tough and dry when seared over high heat. Love the flavors of the marinade, salsa and mayo, and will certainly do this again using boneless sirloin or rib steak (which isn't much different in price anyway). I used Aleppo pepper flakes instead of gochugaru; OK substitute but maybe not quite enough heat.",comment,66306767,33,positive_user_describing_changes,5,791,positive,Liked recipe but made changes
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,"If you are overwrought by the soy use braggs amino , I quit soy years ago and it tastes just like kikkoman",comment,73125591,21,positive_user_describing_changes,5,791,positive,Liked recipe but made changes
0,Sam Sifton,https://cooking.nytimes.com/recipes/1014203-bulgogi-sliders-with-scallion-salsa,Bulgogi Sliders With Scallion Salsa Recipe,"This is a great recipe. I used top sirloin. The cut of meat isn't what makes this. You can even use ground beef, pork or turkey. It's the marinade and the salsa that makes this so good. Before you start complaining about the cut of meat, stop and think.

If you think it is all too calory laden, then you are just looking for something to complain about.",comment,79197883,21,user_responding_to_other_user,5,791,neutral,Commenter responding to other commenter
