index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,I made this with a few modifications. I got a jar of pasta sauce then boiled some spaghetti. I cover the pasta with the sauce and served it with some crusty bread. Picky family loved it.,comment,66769376,39,maybe_not_about_the_recipe,4,111,neutral,Off-topic
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,Cook pasta till al dente than another 10 to 12 minutes? Won't it be mushy?,comment,66252213,37,thinks_recipe_is_flawed_due_to_cooking_time,4,111,negative,Thought the cooking times were wrong
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"Where's the lemongrass (one of the supposed ""primary ingredients"") in the recipe?",comment,96369919,31,question,4,111,neutral,Commenter asking a question
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,Its interesting to me that most of the comments are negative about this recipe. We cooked it this evening and it was phenomenal. Thanks for the recipe.,comment,7030119,29,positive_user_made_as_written,4,111,positive,Liked recipe and prepared as written
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,Where is the lemongrass in the recipe?,comment,125585811,28,question,4,111,neutral,Commenter asking a question
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,There is nothing Caribbean about this recipe except the name and use of coconut milk and hot peppers,comment,88271359,19,thinks_recipe_is_inauthentic,4,111,negative,Thought the recipe was inauthentic
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"I know both salt mackerel and shrimp rundown. Love them both. I've had them with rice, had them with pasta. But this recipe seems strange. It leaves out usual ingredients, adds odd substitutions, and apparently completely overcooks the starch. Rundown on pasta is delicious. I won't try this, however, because of the cooking times, even though it might be delicious. I'll stick with preparing the rundown more traditionally and serving it over pasta. Still, it's great to see rundown profiled!",comment,81014413,17,thinks_recipe_is_flawed_due_to_cooking_time,4,111,negative,Thought the cooking times were wrong
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"This seems very odd.  Seafood and lemongrass are mentioned among the primary elements, but there is no lemongrass.  I guess the anchovies are the seafood.  And you cook the pasta on medium-high for 10-12 minutes past al dente!  That's an awfully long time.",comment,50300596,10,thinks_recipe_is_flawed_due_to_cooking_time,4,111,negative,Thought the cooking times were wrong
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,Where is everyone seeing lemongrass in the recipe? I don’t see it.,comment,78727720,9,question,4,111,neutral,Commenter asking a question
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"They must have edited the recipe and description to remove any reference to lemongrass, unless I'm blind. I don't see it anywhere but in the comments.",comment,56381888,7,maybe_not_about_the_recipe,4,111,neutral,Off-topic
19,Yewande Komolafe,https://cooking.nytimes.com/recipes/765313321-pasta-in-rundown-sauce,Pasta in Rundown Sauce Recipe,"This sounded weird in theory, but it was phenomenal. The flavors all complemented each other, nothing was overpowering. I went light on the habanero for my kids and we all loved it. The sauce is creamy, the flavors are bright, and since it’s all rough chopping, it’s a super easy weeknight meal. I’m not ashamed to say I threw some chicken nuggets in the toaster oven and we had them on the side for some protein on a busy school night. Bonus: it’s made the kids’ lists of approved leftovers to send for school lunches.",comment,104461116,6,positive_user_describing_changes,4,111,positive,Liked recipe but made changes
