index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,When I use canned (no salt)chick peas I freeze the aquafaba in Tablespoon quantities. It thaws quickly and maintains its marvelous qualities. I substitute 1Tbs per egg white.,comment,59912227,35,maybe_not_about_the_recipe,4,273,neutral,Off-topic
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,"Gale, here is an article about making your own aquafaba from chick peas: <a href=""https://www.foodhighs.com/2015/07/05/aquafaba-without-the-can"" target=""_blank"">https://www.foodhighs.com/2015/07/05/aquafaba-without-the-can</a>/",comment,1845530,20,user_responding_to_other_user,4,273,neutral,Commenter responding to other commenter
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,"These were really good, with a crisp exterior and soft, eggy center. I followed the recipe exactly. Fwiw, I used the liquid from chickpeas I cooked in the Instant Pot.",comment,74786461,14,positive_user_describing_changes,4,273,positive,Liked recipe but made changes
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,Kalustyan's sells an aquafaba powder,comment,91749124,9,user_responding_to_other_user,4,273,neutral,Commenter responding to other commenter
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,couldn't you just save that amount of liquid from the chickpeas you cooked yourself?,comment,14404207,9,question,4,273,neutral,Commenter asking a question
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,"A gentle note: ground chickpea flour is referred to as gram” flour by South Asians, not “garam”. “Garam” refers to “garam masala” a commonly used spice mix.",comment,156805974,9,maybe_not_about_the_recipe,4,273,neutral,Off-topic
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,"Looks delish. Has anyone tested these in stainless steel (not non-stick) muffin pans? I'll be trying it out with avocado or macadamia nut oil, and hoping they release.",comment,66050457,1,question,4,273,neutral,Commenter asking a question
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,Do variations—adding herbs and/or shredded cheese (vegan or otherwise)—make them even better?,comment,56842583,1,question,4,273,neutral,Commenter asking a question
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,"Aquafaba is the water in which the chickpeas have cooked, even if you make it yourself.",comment,32404927,1,user_responding_to_other_user,4,273,neutral,Commenter responding to other commenter
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,"Can I substitute gluten free flour?  If so, which kind?",comment,31218601,1,question,4,273,neutral,Commenter asking a question
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,Where does it say 3.25 teaspoons of baking powder other than in the notes?,comment,60113509,1,question,4,273,neutral,Commenter asking a question
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,Are you meant to put oil in all 12 muffin cups yet only bake 9?,comment,2058048,1,question,4,273,neutral,Commenter asking a question
21,Julia Moskin,https://cooking.nytimes.com/recipes/1022817-vegan-yorkshire-puddings,Vegan Yorkshire Puddings Recipe,"The amount of baking powder and salt is missing from the ingredients list in the app but if you access the recipe from the article link  that accompanies the recipe the info is there. Baking powder: 3 1/4 tsp, Salt: 1/2 tsp.",comment,49837307,1,maybe_not_about_the_recipe,4,273,neutral,Off-topic
