recipeTitle,maybe_not_about_the_recipe,positive_user_describing_changes,positive_user_made_as_written,question,thinks_ingredients_hard_to_find,thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_technique_or_equipment,thinks_recipe_is_inauthentic,user_responding_to_other_user,url,totalComments
Tomato-Feta Salad Recipe,0.0,0.8636363636363636,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,https://cooking.nytimes.com/recipes/1026738-tomato-feta-salad,22.0
Çilbir (Turkish Eggs With Yogurt) Recipe,0.042735042735042736,0.8205128205128205,0.05982905982905983,0.008547008547008548,0.0,0.0,0.02564102564102564,0.03418803418803419,0.0,0.008547008547008548,https://cooking.nytimes.com/recipes/1024227-cilbir-turkish-eggs-with-yogurt,117.0
Speedy Fish Chowder Recipe,0.037037037037037035,0.8201058201058201,0.042328042328042326,0.05026455026455026,0.0026455026455026454,0.005291005291005291,0.021164021164021163,0.007936507936507936,0.010582010582010581,0.0026455026455026454,https://cooking.nytimes.com/recipes/1020005-speedy-fish-chowder,378.0
"Pork Tenderloin With Chickpeas, Tomatoes and Oregano Vinaigrette Recipe",0.0,0.8125,0.0,0.09375,0.0,0.0,0.03125,0.0625,0.0,0.0,https://cooking.nytimes.com/recipes/759847063-pork-tenderloin-with-chickpeas-tomatoes-and-oregano-vinaigrette,32.0
Spicy Tomato and Nectarine Salad Recipe,0.0,0.8064516129032258,0.06451612903225806,0.06451612903225806,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,https://cooking.nytimes.com/recipes/1024517-spicy-tomato-and-nectarine-salad,31.0
Pasta Pesto Soup With Turkey and Spinach Recipe,0.009900990099009901,0.801980198019802,0.04950495049504951,0.0297029702970297,0.009900990099009901,0.0,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.009900990099009901,https://cooking.nytimes.com/recipes/1027654-pasta-pesto-soup-with-turkey-and-spinach,101.0
Rice and Beans With Extras Recipe,0.0625,0.7946428571428571,0.044642857142857144,0.0625,0.0,0.0,0.017857142857142856,0.008928571428571428,0.0,0.008928571428571428,https://cooking.nytimes.com/recipes/1020025-rice-and-beans-with-extras,112.0
Chicken Jorim (Soy-Braised Chicken) Recipe,0.0,0.7878787878787878,0.06060606060606061,0.09090909090909091,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,https://cooking.nytimes.com/recipes/1026897-chicken-jorim-soy-braised-chicken,33.0
Alice Waters’s Seasonal Minestrone Recipe,0.04285714285714286,0.7857142857142857,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.0,0.07142857142857142,0.0,0.0,0.014285714285714285,https://cooking.nytimes.com/recipes/1018898-alice-waterss-seasonal-minestrone,70.0
Gratinee of Cauliflower Recipe,0.0,0.7850467289719626,0.037383177570093455,0.06542056074766354,0.0,0.009345794392523364,0.08411214953271028,0.018691588785046728,0.0,0.0,https://cooking.nytimes.com/recipes/1015571-gratinee-of-cauliflower,107.0
Vegan Mushroom Étouffée Recipe,0.022222222222222223,0.7777777777777778,0.08888888888888889,0.044444444444444446,0.0,0.0,0.044444444444444446,0.022222222222222223,0.0,0.0,https://cooking.nytimes.com/recipes/1018977-vegan-mushroom-etouffee,90.0
Chicken Meatball Soup With Orzo and Dill  Recipe,0.038461538461538464,0.7692307692307693,0.038461538461538464,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,https://cooking.nytimes.com/recipes/1026144-chicken-meatball-soup-with-orzo-and-dill,26.0
Parchment-Steamed Fish With Buttered Radishes Recipe,0.0,0.7692307692307693,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,https://cooking.nytimes.com/recipes/777045284-parchment-steamed-fish-with-buttered-radishes,13.0
Simple Chickpea Soup Recipe,0.0,0.7611940298507462,0.08955223880597014,0.11940298507462686,0.0,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,https://cooking.nytimes.com/recipes/1014716-simple-chickpea-soup,67.0
Fried Rice Recipe,0.07878787878787878,0.7575757575757576,0.06060606060606061,0.06060606060606061,0.0,0.0,0.012121212121212121,0.01818181818181818,0.006060606060606061,0.006060606060606061,https://cooking.nytimes.com/recipes/1020016-whatever-youve-got-fried-rice,165.0
Steak Tacos With Pineapple Salsa Recipe,0.08333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,https://cooking.nytimes.com/recipes/1020017-steak-tacos-with-pineapple-salsa,12.0
Steamed Mussels With Tomatoes and Chorizo Recipe,0.0625,0.75,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625,https://cooking.nytimes.com/recipes/1020014-steamed-mussels-with-tomatoes-and-chorizo,16.0
Miso-Grilled Shrimp with Corn and Shishito Peppers Recipe,0.0,0.75,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,https://cooking.nytimes.com/recipes/1026951-miso-grilled-shrimp-with-corn-and-shishito-peppers,12.0
