index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),The butter amount (141g) listed in the ingredients is incorrect and should be closer to 197g (4 Tbs = 56g in the dough; 10 Tbs = 141g for the butter block).,comment,82412707,28
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),"Definitely need to correct the prep and cook times, plus chilling!",comment,81643820,17
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),In what way should the prep and cook times be corrected?,userReply,62878370,1
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),"@Boris isn’t rising and resting part of the prep?

This is a recipe that is screaming out for a video.",userReply,43076,9
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),@Greg Creedon Yes!  A video would be very helpful!,userReply,73781145,0
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),I just watched the YouTube video of this recipe. I think it’s a must if you want to really understand how to make this beautiful dough.,comment,10643,7
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),"For this, or any other baking for which you need to keep a dough cold, get a marble slab and put it in the refrigerator a few hours before starting. You can get a purpose-made rolling slab for a hefty price, or you can look for:
*A marble chessboard at yard and garage sales
*A scrap of marble from a company that makes marble countertops - a sink cut-out is an ideal size
*A single 18""X18"" marble floor tile from a flooring store - they may have some that are leftovers, or slightly chipped.",comment,59850547,2
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),Just watched episode of Julia Child and guest baker make this dough on PBS. It is a great tutorial on how to make it.,comment,53543873,2
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),"Guest baker was Beatrice Ojakangas. If you want to bake anything from the Scandinavian countries, she's the best source!",userReply,32696102,0
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),"A video would be fantastic! 
Until then, I’ll let the entire recipe  rest.",comment,72040051,1
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),how did the Danish make this before electricity and mixers?,comment,56803977,1
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),Not the recipe to attempt during a heat wave....,comment,76197737,1
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),Could puff pastry be used for this?,comment,67705042,0
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),Just asking ...could the frozen Phyllo Dough somehow be utilized as a substitute for the homemade dough?,comment,70773717,0
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),"I do not have a dough hook or standing mixer, how do I mix the dough?",comment,128201988,0
0,Claire Saffitz,https://cooking.nytimes.com/recipes/782328993-classic-danish-dough,Classic Danish Dough Recipe,5(7),"Aren't all good dough recipes ""wrapped around a sheet of butter, rolled out and folded several times to create layer upon layer of flaky pastry""?",comment,60723284,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),"Just watched your video for this dessert and it looks delicious. BTW, what is your red spatula called with the white markings; I’d love to get my own. Thanks in advance.",comment,46502348,6
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),@Donna - the Danish dough recipe is linked in the ingredient list. Happy baking! This looks like a fun and delicious way to practice making laminated pastry.,userReply,72208426,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),"@Donna here it is (I love mine): <a href=""https://www.thermoworks.com/products/hi-temp-silicone-reduction-spatula?variant=45991967719586&gad_source=1&gad_campaignid=20562571647&gbraid=0AAAAAD_RHEe7TYP3v-mNY8wpT96GliAC4&gclid=CjwKCAjw6f3RBhApEiwAMaCqWTdzjeGPs14Yzev5A_DHPSXqCKiLVutyXTkShAMG-IipEPQP9S9oQhoCW1cQAvD_BwE"" target=""_blank"">https://www.thermoworks.com/products/hi-temp-silicone-reduction-spatula?variant=45991967719586&gad_source=1&gad_campaignid=20562571647&gbraid=0AAAAAD_RHEe7TYP3v-mNY8wpT96GliAC4&gclid=CjwKCAjw6f3RBhApEiwAMaCqWTdzjeGPs14Yzev5A_DHPSXqCKiLVutyXTkShAMG-IipEPQP9S9oQhoCW1cQAvD_BwE</a>",userReply,87608681,1
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),"Donna, check out Hedley & Bennett.",userReply,66479981,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),I don’t know what Danish dough is.  Do you buy it?  Is it in the freezer section?  I don’t think I have ever seen it at my store.  A link or a little more information would be helpful.  Instead it is relegated to looks yummy but will not be made.,comment,67898011,6
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),@Beth The recipe for the Danish dough is linked in the tart recipe,userReply,96397362,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),@Beth there is a link to the danish dough recipe in the ingredient list. It is also a Claire Saffitz recipe published previously in NYT Cooking.,userReply,66482036,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),@Beth there is a link to a recipe for the dough but according to the comments it’s problematic. I think I’m going to pass on this recipe unless I could buy store bought dough.,userReply,57605449,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),@Beth There's a link to the Classic Danish Dough recipe in the ingredients listing.,comment,112842001,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),They link to a recipe for it in the ingredient list! @Beth,comment,259265019,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),@Donna there's a link to the Danish dough recipe.,comment,24038912,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),@Beth The recipe for the dough is linked in the ingredients list.,comment,77264442,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),"@Beth - click on the link in the ingredients, it will take you to the dough recipe",comment,23305163,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),@Beth Danish dough recipe is linked,comment,56298618,0
1,Claire Saffitz,https://cooking.nytimes.com/recipes/782330464-blueberry-danish-tart,Blueberry Danish Tart Recipe,5(10),@Beth there's a link to the Danish dough recipe in this recipe,comment,77134206,0
