index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),I'm off to the grocery store to get fixins for this but I don't expect to find baby artichokes. Halved  or quartered brussel sprouts will do nicely. This recipe seems like the sort that gets better the next day. I would crisp the brussel sprouts just before serving because I find brussel sprouts can get a little stinky if reheated.,comment,10180393,33
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"Am I being dense in wondering why both a skillet and a roasting pan are needed? Could I do this in a dutch oven by making the sauce, then adding the chicken in and then roasting? I guess less exposed chicken to get browned if slightly more submerged?",comment,83889449,22
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"@Carley that’s what I did, used an oven safe deep skillet for the sauce and laid the chicken on top.",userReply,81701865,17
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"I searched high and low in the produce capital of California, Berkeley, for baby artichokes to no avail so I used mushrooms and they were a very good alternative.",comment,49725953,18
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),@Vickie. I got some from Monterey Market,userReply,1383357,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),You will not notice a difference between jarred artichokes and the baby artichokes listed in the recipe after braising for an hour and a half.,comment,35984969,16
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),@NycGal You don't braise the artichokes for an hour and a half. You saute until crisp separately.,userReply,46689437,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"I’ll make these with both thigh and leg attached using four rather than six. I’ll also stuff the baby artichokes with mint, parley, breadcrumbs, lemon juice and a touch of EVOO to moisten.",comment,46063237,10
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"I halved this recipe, using chicken thighs cooked in a cast-iron Dutch oven. In place of fresh baby artichokes, I used frozen artichoke hearts from Trader Joe's. Otherwise I followed the recipe as written, and it came out perfectly. It was delicious and smelled divine! I think the crispy, chewy texture of the fried artichokes definitely added to the dish; next time I might try cooking them in my air fryer. The herb/capers/lemon zest topping was also great!",comment,81934057,7
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"I made this with chicken thighs rather than quarters, which I find awkward to eat. The pan juices did NOT ""reduce and thicken to a dark gravy-like glaze"", as mentioned int the accompanying article which disappointed me. I mean, the sauce was nice but not noteworthy. Don't skip the gremolata because it added  lot of flavour. Did not prepare the artichokes. Instead, I served the chicken on a bed of roasted green beans and carrots and served with Persian jeweled rice. Lovely meal.",comment,9450975,4
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"But baby artichokes are wonderful braised … why would you prepare them separately? Brown them if you want, with or after the chicken, but then braise them in the same pot. I truly don't understand the reason for preparing them on their own.",comment,66216703,2
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),I'm in rural Central NY with limited grocery options within 50 miles. Would canned artichokes work? I'm pretty sure frozen baby artichokes aren't available locally either. (If only I had a greenhouse where I could grow artichokes!),comment,62653279,1
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"@E., Coop.buy them on Goldbelly fresh",userReply,46063237,1
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),I would use the frozen (no way am I turning artichokes) but try the can if you can't get them. I would not used marinated. A previous commenter mentioned subbing brussels,userReply,64508716,28
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"We've grown artichokes in Arizona, and they are plentiful fresh out West.   However, I took one look at this recipe and made a note to head to Trader Joe's for a bag of frozen artichokes.   They are just easy to deal with, and I've had luck with that brand.",userReply,102667804,69
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"Couldn’t you just add the artichokes to the pan with the chicken, maybe half way through cooking, and just let them oven roast?  Especially if you’re using canned or frozen, which both profit from drying out anyway.",comment,70142450,1
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),I add Costco marinated artichoke hearts to the roasting pan midway through.  Not true to the recipe but delightful and easy!,comment,63640047,1
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"Delicious, but made some modifications. I cooked it all in a large, round Dutch oven, with somewhat lower sides.  Only one leg/thigh didn't brown much.  Total cooking time about 1.5 hrs. Reduced gravy on top of stove.  Was too astringent, so added a touch of butter, small amound of (nondairy) creamer, also olives. Used packets of marinated olves from TJ marinated but not too briney and mushroom slices sauces. Not too hard and worth it.",comment,33877867,1
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"A lot of work for an ordinary dish. My guests gave two stars each. It’s an unusual combination. 
My preference: serve the artichokes separately with pasta. Delicious!
Serve the chicken thighs and sauce au vin blanc with rice at an other occasion. Also very delicious. Polenta I’d prefer with any preparation of tomatoes etc.",comment,91717364,1
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"This was a fantastic dish. Used frozen artichoke bottoms and added them to the braise. Sauce was a bit thin, so added a beurre manie at the end. Delish!",comment,68731313,1
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),Won’t the roasted chicken be cool before adding the artichokes.perhaps the finished dish should go back into the oven.,comment,10801179,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"The artichokes are made as the chicken is roasting - the word ""Meanwhile"" in Step 5 is the key.",userReply,6407308,8
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"Sacrilegious question: Can canned or frozen artichoke hearts be substituted for the baby artichokes?  Specifically, will they hold up to sauteing?",comment,1222359,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),@Roald canned are terrible because they’re in a citric acid brine plus they’re too wet to fry,userReply,81701865,5
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"If preparing one day in advance, do you stop at Step 5 - prepping the artichokes?  Seems like the chokes are supposed to be crisp. Not sure that would be true the next day?",comment,52581915,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),In NC all my life. I have never seen baby artichokes,comment,99901058,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),I'm new to this so please bear with me. I'm looking for help along my cooking journey.  I dont see how 6 large legs will fit.  I counted the legs in the picture and came up with 5. what's the solution,comment,67578880,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),We liked it. Next time I’d add more rosemary for cooking and more capers to finish,comment,60559641,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),Great recipe but way too much liquid. You calm halve it. I had to do a major reduction.,comment,67843448,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"I used frozen artichoke bottoms from Trader Joe's.  Despite including many of my favorite things as ingredients, i thought this recipe was just OK.  I really wanted it to be great, but I think it might be too much work for too little enjoyment.",comment,55952119,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"I used sunchokes bc that’s what we had which maybe required cooking for longer, added mushrooms (also had ‘em lying about) and it was truly delicious. Served over wild rice. Worth the effort. Would definitely make again.",comment,100836685,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"If I make this again, I would reduce the number of pans to wash by making the braising sauce in my Dutch oven, then nestle the chicken into the sauce.",comment,76024656,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"I didn't have white wine on hand, but had an open bottle of pinot noir and used that instead.  Excellent sauce. Substituted marinated in oil artichoke hearts and the whole dish was delicious, especially over polenta.",comment,28575182,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),"I got baby artichokes through Gold Belly. Very expensive but the minimum order is enough to make this dish several times, but be aware that cleaning up the artichokes requires some more time than the recipe calls for.",comment,42638279,0
0,David Tanis,https://cooking.nytimes.com/recipes/1027735-braised-chicken-with-rosemary-and-crispy-artichokes,Braised Chicken With Rosemary and Crispy Artichokes Recipe,5(63),This recipe is made for the likes of Julia Child. Half the instructions are missing.  I'm very disappointed.  I am a beginner cook and this takes alot for granted that you expect everyone just to know that is not stated in the directions. Needless to say it came out badly. I was so looking forward to it as it really sounded delicious.,comment,71815393,0
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"I haven’t made this soup yet so can’t comment on it, but wanted to clarify for readers unfamiliar with chickpeas that they’re commonly known by various names in different cultures and stores. 

For example, in Spanish-speaking cultures they’re called “garbanzo beans”, and in Italian and Sicilian-speaking cultures they’re known as “ceci beans” (as in this recipe).  Other cultures have their own names, especially depending upon the type of chickpea.",comment,73772627,44
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),@D. Is anyone really unfamiliar with chickpeas and their many aliases at this point?,userReply,183180530,9
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),@D. Thanks for the explanation! Unlike Cici Pedantson (bless her heart) I was not familiar with the name ceci beans. All my Italian cookbooks use the name garbanzo beans.,userReply,99292716,20
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"Definitely needs more water, at least 2 cups more, so start with 10 cups. Had I cup of broth left when drained ceci before simmering 10 minutes with carrots and onion which absorbed that cup. pureed with immersion blender and it is hummus consistency! don't want to add plain broth now...so add more water at the start!",comment,54662079,17
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),I had very little liquid remaining after draining chickpeas in step 3.Presume I will need to add more for step 5 or essentially I will have hummus.,comment,46408542,10
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"This soup was quite delicious! I did make a number of adaptations because it was rather late when I started making it and I wanted to use what I had. To start I only used one can of beans because I am only one person also read through the comments on liquid and went with 2 cups broth, 4 cups water and that yielded a good consistency.  Also used garlic powder and minced onion for the first part. 

For the carrots and onions, I used onions. I pre-chopped and keep in the freezer did not thaw them just threw them right in. Last I did not have a pepper so I didn’t even make that part and it was quite fine without. Considering adding some chili crunch to spice it up or possibly a tomato pesto that I keep on hand at all times.",comment,76213090,6
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),Can this be made with canned chickpeas? I understand there won't be soaking in that case. Would anything else be different?,comment,9354234,2
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"You wouldn't have the liquid that it says to reserve from cooking the dried chickpeas.  Could probably just use broth instead, though.",userReply,107166966,5
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"Yes, play it by ear.   Reserve liquid from chickpeas can.   Augment with broth if needed.   Adjust.",userReply,102667804,6
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),Has anyone tried to make this with canned ceci beans?,comment,27606587,2
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"Yes.  Result is ok but not as flavorful. Tinker more with seasoning and it's fine.  I combine mine with chicken soup, which works for me. But next time will start with dried beans.",userReply,33877867,1
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"I soaked a little over 1 cup of chickpeas for 24 hours and used 4C of water in Step 1 and had the same consistency issue after blending as the earlier commenters. I probably had 2/3C of broth after cooking. It also had the same color as hummus, and is not as bright as the photo above.",comment,99025480,1
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),I wonder if the soup would be more elegant if the coating of the chickpeas were removed after cooking?,comment,26438127,1
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),One of my favorite restaurants in SF makes this but adds pasta. Delicious!  Despite the tan on tan look.,comment,440746,1
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),What changes if you use canned chickpeas?,comment,77512734,1
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"The chickpea preparation here is wonderful!!! I've routinely soaked and simmered all of my dry beans since I prefer their texture to canned. The added aromatics, olive oil, and salt gave wonderful flavor to the chickpeas and provided a lovely vegetable broth... more ideas for future dried and soaked beans of all sorts with aromatics adjusted to recipes.",comment,66119193,1
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"I've made this soup twice now--the first time with ""fresh"" chickpeas (as per recipe) and the other day with a can.  Next time definitely with ""fresh,"" which are more flavorful.  I used half to make the soup (helped by NYT scaling advice) and the other half to make fresh hummos, which was the best I've ever made. For soup added tsp fish sauce and a little mild curry. Today's lunch, combined this with my chicken soup, leftover couscous and crispy cauliflower. Love this soup.  What a surprise.",comment,33877867,1
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"@AKGirl
You’re most welcome. Some people know chickpeas well and some do not, especially if they’re new cooks and we should always encourage new cooks. Others grow up only hearing and knowing one name for ceci beans. Labeling can be so irregular in supermarkets and on food packaging. 

Yesterday at Trader Joe’s I saw a handwritten sign by the canned beans stating “chickpeas are also called garbanzo beans!”.  It’s clearly confusing for many shoppers and store employees.",comment,73772627,1
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"Add taro root,beet, sweet potato chips you the top. Serve with add in spicey yummy stuff. It kickcs. It up in color style texture",comment,87778193,0
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"I really liked this soup and followed the comments about increasing the water. I used about twelve cups and the color came out close to the photo. Using dried beans reminded me how much tastier, if less convenient, they are than canned. 

The beans take quite a while to cook, and I didn’t really understand the point of waiting until they were done and draining them and reserving the liquid so you could cook the onion and carrots in the same pot and then adding the beans and reserved broth back in. So while the beans were cooking I sautéed the veggies in a separate pan. Once the beans were done I fished out the aromatics and just added the veggies to the pot. It seemed quicker, easier and delicious, but maybe I’m missing an important point. 

I used the immersion blender and puréed about half the beans and veggies to be creamy but still retain texture. As I am not a big fan of cayenne pepper, I substituted garlic in the pesto and it came out great. I tripled the peppers and added three garlic cloves so there would be plenty for the leftover soup.",comment,93126901,0
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),I would be very curious to hear from David Tanis regarding the liquid situation in this recipe. I added about a cup and still had a soup that was a bit unpleasantly thick.,comment,81534102,0
1,David Tanis,https://cooking.nytimes.com/recipes/1027734-ceci-bean-soup-with-red-pepper-pesto,Ceci Bean Soup With Red Pepper Pesto Recipe,4(35),"I stumbled onto this recipe while searching what to do with my pot of Ranch Gordo zipper cream peas. I’m going for it! I haven’t looked this up yet but just to muck the water, are cowpeas related to chickpeas?",comment,79728664,0
2,David Tanis,https://cooking.nytimes.com/recipes/1027736-blood-orange-gelato,Blood Orange Gelato Recipe,4(31),Is there a work around if you don't have an ice cream maker?  Thanks.,comment,63162518,21
2,David Tanis,https://cooking.nytimes.com/recipes/1027736-blood-orange-gelato,Blood Orange Gelato Recipe,4(31),"@Jen I lived in Afghanistan for several years working for the UN and once when we were on the road we stopped at an ice cream shop where they made Mango ice cream by hand. They had a wide shallow-ish copper bowl which they set in a big pan of ice and then stirred their mango cream mixture continuously until it set up nicely. It was really cool to watch and fresh to eat! It looked like it took a bit of elbow grease, but I think a thin metal pan set in sink with ice could work!",userReply,69266720,26
2,David Tanis,https://cooking.nytimes.com/recipes/1027736-blood-orange-gelato,Blood Orange Gelato Recipe,4(31),"@Jen I wonder the same thing…also wondering if substituting some yogurt for the cornstarch and some of the half and half would be a good idea. I used to have a ice cream maker, it was noisy and took a long time and I think whisking the heck out of the ingredients and adding yogurt would make something quite tasty, along with the ice bath idea!",userReply,13902801,3
