index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)","One easy way to separate out the fat is to pour the cooled liquid into a ziplock bag and wait about a minute for the fat to rise to the top of the bag.  Then snip a little bit off a corner and let the liquid fall into a bowl, stopping when the fat gets to the bottom of the bag.  ",comment,73394141,198
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)",What are English-cut as opposed to the short ribs in the supermarket?,comment,48378979,147
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)",English cut short ribs are those that you will typically see -- cut parallel to (along) the bone so that you have a single bone about 4  inches long.  The other cut is flanken cut which is cut across several bones so you have meat surrounding 3 or 4 short bones surrounded by the meat. <br/><br/>Hope this is helpful.,userReply,2544858,22
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)","Image result for ""English cut"" short ribs?<br/>English style: The ribs are cut parallel to the bone, with one bone per piece. They tend to hold their shape even after a long braise and make an impressive presentation. Flanken style: The ribs are cut across the bone. Each piece has three to four short sections of bone with a generous portion of meat around them.",userReply,16601185,3
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)",English cut are just short ribs cut along the bone in one piece with one bone. Flanken are cut across the bone with several bones in each strip.,userReply,15355164,8
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)","Here's an article about different cuts of short ribs: <a href=""http://www.bonappetit.com/test-kitchen/cooking-tips/article/beef-short-ribs"" title=""http://www.bonappetit.com/test-kitchen/cooking-tips/article/beef-short-ribs"" target=""_blank"">http://www.bonappetit.com/test-kitchen/cooking-tips/article/beef-short-ribs</a><br/><br/>English style: The ribs are cut parallel to the bone, with one bone per piece. They tend to hold their shape even after a long braise and make an impressive presentation.",comment,72227044,98
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)","I made this for Christmas Eve dinner and it was divine! I didn't tell my dad, a Trump voter, that it's called ""Obama's Ribs"", so it felt extra nice when he complimented me on them!",comment,2707522,91
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)",These turned out like an excellent meal in a fantastic restaurant. Set them on a bed of egg noodles. Would serve just this way for a dinner party.<br/>I would like to try it a little more rustic for just us. We used grass fed short ribs from a small local farm that has such a buttery flavor.<br/>Thanks Obama.,comment,61511889,65
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)","Delicious! Made for a dinner party so doubled the recipe, used boneless short ribs. I made it over two days - browned the meat and made sauce in a sauté pan, put 20 pieces in a roasting pan and cooked in the sauce for two hours, then chilled overnight, pulled the cold fat from surface, put ribs on a platter and puréed the veggies and broth, returned all to roasting pan, put in oven for 2 hours at 325 to rewarm, lingered over drinks so turned heat down to 200 for another hour. Tender & perfect. ",comment,51336179,62
0,Emily Weinstein,https://cooking.nytimes.com/recipes/1018318-red-wine-braised-short-ribs-with-lemongrass-and-soy,Red Wine-Braised Short Ribs With Lemongrass and Soy Recipe,"4(1,437)",Made this over two days. Followed directions exactly for quantities. Used boneless ribs and browned thoroughly. After braising 2  hours refrigerated overnight. Removed fat cap. Set aside ribs and puréed all veggies in sauce. Returned ribs to sauce. Heated thickened sauce drenched ribs at 325 for an hour. Served over spaetzle. With roasted thyme seasoned carrots Unbelievably delicious and rich. 3.5 lbs boneless ribs made 10 servings. If I keep feeding him this well I will never get rid of Husband,comment,51806620,25
