index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),"Add a pinch of asafoetida (called Hing in Hindi) to the mix in step 6 -- it's an essential ingredient that adds flavour to the sambhar.  The recipe is fine otherwise.  (By the way, you can save yourself some labour by using sambhar powder that you can buy at any Indian store:  MTR is one of the better brands.)",comment,77729819,19
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),"If I can’t source fresh tamarind, can I use tamarind paste and how much for this recipe?",comment,138296385,8
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),Sambhar is usually made with Arhar or Toor dal. Masoor or red lentils have a different flavour profile.,comment,55620544,7
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),It is unheard of to make sambar with masoor dal. it is always made with Tur dal. Maybe Padma forgot...,comment,105037752,4
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),"This is an abomination…nothing at all like Sambhar, beginning w the choice of dhal used, as others have pointed out. At least have the courtesy of calling it “riffing on…” or “inspired by”. Ms Lakshmi is best served by sticking to domains of her expertise - fashion and make up?",comment,11918075,2
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),"@VaGirl That’s unnecessary. She’s lived most of her life in NYC and has a broad, inclusive view of cuisine. It’s not 100% authentic, but who cares? Get over yourself.",userReply,74002089,0
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),"This was good, but not worth the time and effort to make. It took me a good 1.5 hours and required multiple steps. I even went to Indian food store for tamarind, fresh coconut and chana dal. I couldn’t really taste the tamarind or coconut and frankly the flavor was similar to a much similar dal I’ve made in past. I’ll likely stay with simpler dal with similar flavor profile and skip this more complicated recipe.",comment,192362187,0
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),"@Tammy this is not really a sambhar recipe. Sambhar has an unparalleled tangy flavour of tamarind and coconut is complete unnecessary and not even usual. 
When I make sambhar I can make it in under an hour tops, even faster if I already have cooked lentils (pigeon peas - toor dal - are usually used but you could sub with other red or yellow lentils although the flavour won’t be exactly the same). Google it and you will find better recipes to convince you of the delicious flavour of the authentic dish!",userReply,99686362,0
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),"If you are having withdrawals issues or your crypto investment account has been locked, compromised, or hacked I highly recommend reaching out to Mrs. Lisette Zamora recovery firm. Last month, I found myself in a distressing situation after falling victim to a crypto scam that left me feeling hopeless. This decision turned out to be life-changing, as they successfully recovered my funds within just a few days. I am incredibly grateful for their swift and effective assistance. You can contact her",comment,298295123,0
0,Julia Moskin,https://cooking.nytimes.com/recipes/1027514-sambar-tamarind-lentil-stew,Sambar (Tamarind Lentil Stew) Recipe,4(18),"Delicious! I followed the recipe to T, and served with rice and ghee on top. Heat level from all the chiles was perfect for us. Blending the aromatics was a nice touch!",comment,47870414,0
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),Look great. Any reason not to make these as full size muffins?,comment,79278410,127
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),@Cathy Anderson just made 2/3 of the recipe and baked for 19 mins. and it worked perfectly for 12 full sized muffins.,userReply,27835618,28
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"@Jenni since I’m not too familiar with adjusting the ingredients for partial measurements of a recipe, how did you measure 2/3 of the ingredients, etc. for making the 12 regular sized muffins? I wasn’t sure if it’s 2/3 of every separate ingredient, or are some ingredients measured a bit differently for accuracy in the baked results? Thanks for any help :)",userReply,85813539,7
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"The article that accompanies this recipe is a story of motherhood and wholesome goodness. I am going to make these muffins on principle. To the school chef!

<a href=""https://www.nytimes.com/2025/11/12/magazine/pumpkin-ginger-mini-muffins.html?unlocked_article_code=1.1E8.MGIv.bsFbsGCx1NCN&amp;smid=nytcore-ios-share&amp;referringSource=articleShare"" target=""_blank"">https://www.nytimes.com/2025/11/12/magazine/pumpkin-ginger-mini-muffins.html?unlocked_article_code=1.1E8.MGIv.bsFbsGCx1NCN&amp;smid=nytcore-ios-share&amp;referringSource=articleShare</a>",comment,53936442,82
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"Right there with you, I laud this long departed chef, hope they had a wonderful career.",userReply,33835136,32
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"@Hawks_em Same here! Great article, hope the chef finds it too &lt;3",userReply,86386202,14
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),yes im curious about the bake time for full sized muffins,comment,79568482,73
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"@jessica
Add a few minutes , then test by poking a toothpick in muffin’s center…depends on your oven anyway, so keep an eye (and nose) on them.",userReply,55033486,44
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"I love the story from which this recipe arrives, and the Chef from Louisiana sounds like a person we all need in our lives!",comment,182741067,48
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"I just made a batch of large and mini muffins. The only difference was the additional baking time for the large muffins. Approx 5 minutes more.
I added Cinnamon, cloves, nutmeg for additional flavor. Oh and jumbo raisins. They turned out great  @Cathy Anderson",comment,71960120,43
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),Can you use almond flour or gluten free flour blend?,comment,21153244,34
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),@RKM feels really odd they pretty much ignore needs for GF… or DF EF etc.,userReply,226062502,8
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),@RKM usually a 1:1 gluten-free flour blend (like bobs red mill or King Arthur) works in cake-like recipes like this one. Almond flour behaves very differently than wheat flour and tends to only work in recipes that are formulated for it specifically.,userReply,70016381,18
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),@RKM I make a very similar recipe using almond flour (full size muffins) and I find it works very well.,userReply,64385202,11
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"Would this make 12 full size muffins ? How long would the baking time be, and would the temperature need to be adjusted ?",comment,66096001,15
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),I made full size muffins successfully with an oven temp at 375 for about 18-20 minutes. Use a tooth pick or if another method is the muffin springs back in the center with a light touch. Used pumpkin spice since I didn’t have any powdered ginger- on the list!,comment,88843623,7
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),I am going to try this recipe using sweet potatoes.  I think the amount of sweet potatoes is easier to control than figuring out what to do with the canned pumpkin.,comment,66239754,5
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),@Sarah freeze the leftover pumpkin in ice cube trays and throw into smoothies. Extra fiber!,userReply,55601140,1
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),Please - a substitute for full fat milk yogurt? Allergic to dairy products!,comment,26594848,5
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"@Diane, I love baking with non-dairy yogurt. My fave is Culina coconut milk yogurt. It’s pricey but the results in pancakes and muffins is superb!",userReply,56394869,3
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"It may not be “too sweet” but ca. 2 tsp of sugar per mini is still a lot of sugar, no?",comment,58291161,3
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),AI calculates the sugar per muffin to be 3/8 of a teaspoon--3/4 cup of sugar to 48 muffins. Maybe you&#39;re adding in the molasses?,userReply,78620124,4
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"@CR Actually, AI’s calculation is wrong.  There are 36 teaspoons in 3/4 cup. 36 divided by 48 is .75 tsp.  So, 3/4 tsp of sugar in each mini muffin.",userReply,108127358,5
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"I really liked this recipe despite all the changes i made. I used almond flour and olive oil, which gave it a very nice richness   I’d decrease the oil to 5 - 5.5 Tbs next time.  I decreased molasses by half and it still was a bit sweet for me.  So I’ll likely  decrease sugar next time.",comment,61833754,3
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"Love the story! Muffins, not at all. Way too
much molasses—it overwhelms the recipe. Barely edible. I think the 1/2 cup must have been an error.",comment,88860910,3
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),@Barbara I’m with you. Way too much molasses’s worse pumpkin muffins ever.,userReply,54681553,0
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"The texture is nice and the tops bloomed in a beautiful blister. 
Unfortunately, the muffins are bland and taste mostly of molasses.",comment,217169963,2
1,Julia Moskin,https://cooking.nytimes.com/recipes/1027502-pumpkin-ginger-mini-muffins,Pumpkin-Ginger Mini Muffins Recipe,4(156),"I made these as full sized muffins and they took about 20 minutes. However, I do not care for these - they taste like molasses muffins - I could barely taste any pumpkin or ginger and I am not a molasses fan. Having said that, my husband ate 3 full sized muffins in one day - so if you like molasses - proceed.",comment,76082454,2
