index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"Sounds and looks delicious! I did smile at the 15-minute prep time though, it took me nearly that long just to read through the recipe.",comment,32218636,55
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"@Jessica

Yeah, it’s mystifying. I wish there was a key somewhere on the website that explains what they mean by “prep time” … Since our reality never seems to match their reality!",userReply,103638966,11
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"I’m not a cake baker. I carefully followed the ingredient list and day long steps which resulted  in a stunning (I’ll say stunning again) crowd pleaser. I’d consider not using the glaze so that it’s more like what’s served in restaurants in Rome, Italy. This Baba Rum Cake is a perfect holiday dessert that I will make again and again.",comment,16885269,26
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),@Lauren I had the same experience. Not a baker and it turned out beautifully. After the cake had cooled a bit and we added the syrup it then sat covered at room temp for 2 nights. Decorated it with Bada Bing cherries soaked in rum. Then added still warm apricot rum glaze. Made chantilly cream and dolloped onto each slice when served. Spectacular.,userReply,79718762,6
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"I highly recommend straining the glaze for the savarin once you have heated the jam, it goes on much more smoothly.",comment,58820584,23
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),could you please clarify how to make the cake ahead of time and at what step to pause? e.g. would I keep it in the pan and poke holes/add syrup when it is time to serve?,comment,73604019,11
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"@Ligia

You need to do steps 1 through 12 all in one go. The cake has to be warm in order to absorb any liquid.",userReply,103638966,3
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"I made this for Christmas Day and everyone loved it! We have a summer Christmas (I'm in Perth, Australia) and is was not too heavy at all, even on the exceedingly hot day we had. The chantilly cream is the perfect accompaniment. It's always a risk to make something you haven't made before for a family celebration but I followed the recipe and it turned out beautifully.",comment,270468370,9
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),Followed the recipe exactly as written.   Delicious!,comment,47263456,4
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),I have made Babas before and will try this one for New Year’s Eve. For a more boozy sirup don’t boil the rhum - wait with adding the rhum until the rest of the sirup had cooled  down.,comment,161154610,3
