index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"This sounds great, but the photos seem to show shredded savoy cabbage and not green cabbage – which is what I call ""cabbage"" and what you usually find in coleslaw mix. A Caesar coleslaw made with regular cabbage mixed with crunchy croutons served immediately after dressing sounds like it would be an effort to eat. Savoy cabbage, on the other hand, seems a perfect fit, since it's a much more tender. I think the recipe should have pointed out the differences between the two.",comment,30100996,230
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"@JET, if you used green cabbage would you just let is marinade in the dressing in the fridge for a few hours?",userReply,67292199,7
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"If you sauté those bread cubes in a little butter (salted), they'll stay crisper, taste better, and you won't need to turn on the oven.",comment,48490273,87
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"@Penny toast the croutons in the toaster oven if you have one- after tossing in olive oil and seasonings, Also quick and easy",userReply,52724125,7
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"is that nappa or savoy cabbage?  doesn't look like regular cabbage.  if savoy, don't you have to soak in water to rid it of bitterness?",comment,82498795,72
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"@caesar fiend
I wish they’d use the real ingredients. Food stylists don’t always follow recipes to the letter. They use what they think looks best in the photo aesthetically.",userReply,93988685,5
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),@Cooksalot Very true.,userReply,183180530,0
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),That’s definitely savoy cabbage in the photos. I’ve been doing vegan Caesar (just search for the cashew based no oil added version here on NYT cooking)w a mix of savoy and finely cut lacinato kale forever because it travels so well: my favorite roadtrip lunch by the side of the road that feels fancy. Throw in some croutons or air fried chickpeas at eating time. Regular green cabbage does not do the trick savoy is the way to go.,comment,187690436,54
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"I usually use anchovy paste instead of the whole anchovies.  Same umami, easy to use with a squeeze from the tube, no waste, or left over smelly tin, and keeps in the fridge forever.",comment,38828648,42
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"Is that Napa cabbage in the picture?  As another commenter noted, you should specify. Thanks.",comment,70007417,27
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),Made this tonight. Quick and easy and my husband and I both enjoyed it. The dressing was delicious - I added a splash of fish sauce instead of anchovies and it worked great - and the crunchy home made croutons were a hit. Definitely plan to make this again.,comment,103699414,23
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"The cabbage shown is Savoy Cabbage, not regular green cabbage, and not the cabbage that would be found in a bag of coleslaw mix.  As a fan of cabbage, not all cabbages are created equal!  Nor are they good for all uses.

I use Savoy Cabbage year round for use in both raw, stir fried, and soup and stew dishes.  I have never had an issue with it being bitter.  But suggest you get the freshest produce possible.  Napa Cabbage would also be an ok substitute, but it has less flavor than Savoy.",comment,57905210,20
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"Shredded cabbage as the basis for a salad is smart. It adds texture, it’s more economical and you can easily find uses for the remainder of the cabbage. Tuna salad made w/shredded cabbage and a little olive oil is ideal in hot weather.",comment,46771980,14
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"Please specify best cabbage to use: Green, Savoy, Napa?",comment,8815031,13
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"I’m sorry but does it really matter what kind of cabbage is in the picture? Use whatever cabbage you like or use coleslaw mix if you are busy. 
Also not sure why this would be a chore to eat as on person said.",comment,62812471,13
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"Straight up green cabbage is very chewy v. romaine. Add in the croutons, and you do have a chore on your hands for a big whole bowl full. A side, maybe not, like slaw.",userReply,179538716,5
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"you gotta talk about the cabbage...so many options
personally I would do a blend of green and savoy",comment,54334729,11
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"I tried this recipe and agree that the cabbage is a wonderful textural substitute for Romaine. Having said that, the shortcut of using prepared mayo instead of egg yolks is a nonstarter. Melissa should know better.",comment,93789275,10
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"@Darren
Some fear raw/coddled egg yolks, or they may be pressed for time. The mayonnaise is a decent substitute. Use what you prefer, but there is no shame in the mayo game.",userReply,66033707,40
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"As I said above, i believe Melissa is speaking to a BROAD audience. Not everyone wants to make their own mayo! Melissa does know better as she knows that probably more people would make this recipe because they aren't making their own mayo!",userReply,71267239,27
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),She does.,userReply,2505381,0
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"This may be an excellent salad, but without Romaine I would not consider it to be a Caesar salad.",comment,70392387,8
0,Melissa Clark,https://cooking.nytimes.com/recipes/782914412-cabbage-caesar-salad,Cabbage Caesar Salad Recipe,5(62),"Could you doctor up a store bought Caesar dressing? Maybe add a splash of Worcestershire, some fresh lemon juice and minced garlic?",comment,87906520,7
