index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations
1,Yewande Komolafe,https://cooking.nytimes.com/recipes/782245682-iyan-yam-swallow,No title found,No rating found,"Are these yams grown in the US?  Or are they Imported from other poorer countries making them more expensive for the locals there?

Why not focus on local recipes with local ingredients?",comment,15672712,2
1,Yewande Komolafe,https://cooking.nytimes.com/recipes/782245682-iyan-yam-swallow,No title found,No rating found,"@June Jon

Because some of us enjoy the adventure of looking for and trying new things. This sounds delicious to me!",userReply,103638966,10
1,Yewande Komolafe,https://cooking.nytimes.com/recipes/782245682-iyan-yam-swallow,No title found,No rating found,"there are plenty of recipes with ""local"" ingredients and local of course varies even within the US. Ignore the recipes that don't hold your interest.",userReply,77055457,4
1,Yewande Komolafe,https://cooking.nytimes.com/recipes/782245682-iyan-yam-swallow,No title found,No rating found,"Africans I knew back when I was in college would typically make fufu with instant mashed potatoes, kosher potato starch, and a whole lot of elbow grease. It was a nice stand in with thinner soups, but I was pleasantly surprised when I had the opportunity to taste a more authentic version made with yucca root flour.",comment,70895960,0
1,Yewande Komolafe,https://cooking.nytimes.com/recipes/782245682-iyan-yam-swallow,No title found,No rating found,I would be very interested in having Yewande provide some guidance on making swallows from the tropical Ulu breadfruit. I have incorporated it into many different dishes from savory to sweet desserts. NYT times recently published a recipe featuring Ulu: Mashed Ulu with Passion Fruit Chutney. I did make it per recipe and enjoyed it.,comment,175474398,0
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"It’s great to see this getting some attention, but, at least in Malawi, the corn flour variation is nsima, not nsmia. —Peace Corps Malawi Alum",comment,75708303,5
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"So happy to see this here! 
Looking forward to a recipe for sukuma wiki to go with it (hint hint)!",comment,59647338,2
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),How does step 5 work on an induction burner?,comment,288630348,1
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"Do you pour soup around this and eat it like a dumpling, or break it off and eay it with your hands, dipping in soup?",comment,172813904,1
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"Typically, you break it off and eat it with your hands and you dip it in whatever sauces you have or use it to pick up meat or vegetables in the sauces.",userReply,108135669,0
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"If you can find it, use whole grain white corn flour. The flavor is more complex and it’s healthier than the more processed white flour.",comment,87069514,1
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),Super cool,comment,297213788,0
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),So cool to see this recipe in the NYT!,comment,68727602,0
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"To my surprise, I found masa arepa in the Mexican section at the local Aldi market.",comment,31509940,0
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),I worked for USAID in Kenya one summer when I was in graduate school.  I was a 24-year-old American woman.  The young Kenyan secretaries very kindly befriended me and they were amazed that I had never made ugali.  “How will you get a husband?!” one of them asked.,comment,776678,0
4,Yewande Komolafe,https://cooking.nytimes.com/recipes/781538623-basic-cooked-plantains,Basic Cooked Plantains Recipe,(0),"In Guatemala we also cook ripe plantains in a similar way, but with a stick of cinnamon and no salt. Makes a light dessert, an afternoon snack, or just comfort food.",comment,19161245,8
4,Yewande Komolafe,https://cooking.nytimes.com/recipes/781538623-basic-cooked-plantains,Basic Cooked Plantains Recipe,(0),Don’t you mean yellow plantains? Green plantains are not at all sweet.,comment,32923440,1
5,Yewande Komolafe,https://cooking.nytimes.com/recipes/780518189-mushroom-stuffed-baked-plantains,Mushroom-Stuffed Baked Plantains Recipe,5(32),Peeling a plantain is not an easy task for newcomers. Some instructions (“See tip”?) would be nice.,comment,23319920,38
5,Yewande Komolafe,https://cooking.nytimes.com/recipes/780518189-mushroom-stuffed-baked-plantains,Mushroom-Stuffed Baked Plantains Recipe,5(32),"I learned this from a Puerto Rican chef. Hold the plaintain vertically against a chopping board.  Using the tip of the knife, slash through the skin lengthwise.  Do the same on the other end.(watch your fingers). Then just peel the two pieces of skin off!  It works when the plaintain is soft.",userReply,77882940,6
