index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"I like the simplicity and adaptability of this recipe. I cut the honey down to one T or so, and subbed applesauce for 4 T of the oil. I added a touch extra to make up for the moisture lost by cutting back the honey. Turned it tasty and plenty sweet for me.",comment,73588430,348,positive_user_describing_changes,4,"2,444",positive,Liked recipe but made changes
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"I followed this exactly and I am an experienced cook. These look good but have little to no taste. Its not sweet, you can't taste the peanut butter. The salt on top pushes it away from sweet to... neutral. Perhaps this is for ""special"" diets. It feels like food-by-committee. Just don't. Really.",comment,141422,302,thinks_recipe_is_flawed_due_to_flavor,4,"2,444",negative,Didn't like recipe due to flavor
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,Chocolate chips made a great addition..and when do they not!,comment,165555274,282,positive_user_describing_changes,4,"2,444",positive,Liked recipe but made changes
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"Followed recipe, used almond butter in place of peanut butter. No overarching flavor, even the banana gets lost somehow. So bland I looked over the ingredient list several times to make sure I added everything.",comment,174013054,160,thinks_recipe_is_flawed_due_to_flavor,4,"2,444",negative,Didn't like recipe due to flavor
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"Agree with comments these are too salty. Recommend halving the salt, or even less. Like the texture and found them reasonably tasty. I'll make these again, but with less salt and perhaps adding raisins or dried cranberries.",comment,81175818,148,positive_user_describing_changes,4,"2,444",positive,Liked recipe but made changes
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"I took to heart many of the comments that these are quite bland, with no discernible flavor profile. So I doubled all the spices, used about 5 tablespoons of honey and used toasted hazelnuts on top. Still, after all that extra love given, these are godawful and should never be made! This recipe should be binned, just like the batch I made.",comment,51865208,140,thinks_recipe_is_flawed_due_to_flavor,4,"2,444",negative,Didn't like recipe due to flavor
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"Reduce olive oil to 2 Tablespoons 
      .Apple sauce  4.5 Tablespoons 
Reduce honey to 1 Tablespoons",comment,54543742,85,positive_user_describing_changes,4,"2,444",positive,Liked recipe but made changes
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"I ignored the negative reviews and made them anyway.  They just don't taste good.  Even with less salt and added coconut I thought I could beat it, but no.",comment,70887803,85,thinks_recipe_is_flawed_due_to_flavor,4,"2,444",negative,Didn't like recipe due to flavor
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,The amount of salt in my opinion ruined this recipe for me.  Couldn't eat it.  I would add half or a quarter of what the recipe called for.,comment,89410376,69,thinks_recipe_is_flawed_due_to_flavor,4,"2,444",negative,Didn't like recipe due to flavor
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"This was so good we made another batch three days after the first one! Added a tablespoon of chia seeds to amp up the protein. I don’t get the other comments about too much salt, bland, etc. This recipe is legit.",comment,71587864,66,positive_user_describing_changes,4,"2,444",positive,Liked recipe but made changes
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"Use bananas that are so ripe they're almost liquid in the peel (takes about a week). Reduce honey and oil to 3 tablespoons. Only 1/2 cup of almond butter. Add a scoop of protein powder. Triple the spices and vanilla (use pumpkin spice instead of plain cinnamon). Add plenty of nuts.

This gets you the perfect ""healthy"" cake base. I make this weekly with a variety of flavor variations (apple coffee cake, brownie chocolate chip, carrot cake, pear tart, ect.)",comment,212998722,55,positive_user_describing_changes,4,"2,444",positive,Liked recipe but made changes
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"I found the cook time on this long so I’ll make it again as breakfast cookies.  I agree with what other people said that they’re bland, I would add some raisins, craisins, and/or chocolate chips next time.",comment,87354540,50,thinks_recipe_is_flawed_due_to_flavor,4,"2,444",negative,Didn't like recipe due to flavor
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"Based on other reviews I skipped the salt. I love this recipe. Easy, tasty, perfect for a breakfast bar.) If you’re looking for something else, try a pastry.)",comment,64523244,39,positive_user_describing_changes,4,"2,444",positive,Liked recipe but made changes
31,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023798-banana-nut-breakfast-bars,Banana Nut Breakfast Bars Recipe,"Made these the minute I saw the recipe--great fit with what I needed to use up!. Halfway in, I realized I had lost my 8X8 baking pan so made in a round pan and cut it into wedges.  Was it good? We gobbled the first two pieces, so yes.",comment,31025688,35,positive_user_describing_changes,4,"2,444",positive,Liked recipe but made changes
