index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
15,Priya Krishna,https://cooking.nytimes.com/recipes/1020728-homemade-hamburger-helper,Homemade Hamburger Helper Recipe,I got drunk and made this when my fiancee wasn't home and got all these stains on my undershirt when I ate it (I spilled on myself) and it was so good and I don't even care.,comment,77885759,2513,positive_user_made_as_written,4,"9,957",positive,Liked recipe and prepared as written
6,Ligaya Mishan,https://cooking.nytimes.com/recipes/1026314-yamitsuki-addictive-cabbage,Yamitsuki (Addictive Cabbage) Recipe,"This is Lisa Kyung Gross--founder of the League of Kitchens and author of this cookbook.  Some people have said that this is too much salt.  The salt is RINSED OFF before serving.  You salt the cabbage with 3 Tablespoons of Diamond Crystal Kosher salt (the large grains of salt are important--table salt or fine sea salt will make this much too salty), crunch it in with your hands, and let it sit for 10 minutes. Then you wash off the salt before dressing it.",comment,58439572,2216,user_responding_to_other_user,4,"1,985",neutral,Commenter responding to other commenter
16,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1026583-chicken-and-chickpea-tray-bake,Chicken and Chickpea Tray Bake Recipe,"Ras El hanout recipe: 

1 teaspoon salt

1 teaspoon ground cumin

1 teaspoon ground ginger

1 teaspoon ground turmeric

¾ teaspoon ground cinnamon

¾ teaspoon freshly ground black pepper

½ teaspoon ground white pepper

½ teaspoon ground coriander seed

½ teaspoon ground cayenne pepper

½ teaspoon ground allspice

½ teaspoon ground nutmeg

¼ teaspoon ground cloves",comment,83864368,2115,maybe_not_about_the_recipe,5,"3,172",neutral,Off-topic
25,Sam Sifton,https://cooking.nytimes.com/recipes/9558-takeout-style-sesame-noodles,Takeout-Style Sesame Noodles Recipe,"I learned how to make a version of this from a Chinese native years ago before Chinese ingredients were widely available. You can get a similar ""feel"" by substituting thick (or standard) spaghetti for Chinese noodles, substituting toasted sesame oil for the paste (but don't omit the p'nut butter, smooth or crunchy), adding cayenne pepper if you don't have chili-garlic paste, and using any thin, crunchy vegetables to garnish, including  beansprouts, fresh cilantro, etc.",comment,930376,2054,positive_user_describing_changes,5,"12,461",positive,Liked recipe but made changes
19,Alexa Weibel,https://cooking.nytimes.com/recipes/1025325-creamy-spicy-tomato-beans-and-greens,"Creamy, Spicy Tomato Beans and Greens  Recipe","To make this vegan:
I used a can of coconut cream instead of cow cream & added about a teaspoon of whole grain mustard and a tablespoon of nutritional yeast to the beans.
I added about a teaspoon each of nutritional yeast & paprika to the bread crumbs & mixed the arugula with a good glug of the sundried tomato’s oil.
Devine! Bright! Rich! Will be a staple!",comment,87430575,2023,positive_user_describing_changes,5,"12,771",positive,Liked recipe but made changes
20,Kenji López-Alt,https://cooking.nytimes.com/recipes/1023012-san-francisco-style-vietnamese-american-garlic-noodles,San Francisco-Style Vietnamese American Garlic Noodles Recipe,I’ve been using my meat tenderizing mallet for smashing garlic lately. Turns it into a creamy paste. Does a great job and I’ll use it with this recipe.,comment,79124742,1963,positive_user_describing_changes,4,"10,943",positive,Liked recipe but made changes
3,Emily Weinstein,https://cooking.nytimes.com/recipes/1017724-cheesy-hasselback-potato-gratin,Cheesy Potato Gratin Recipe ,"A couple of things...<br/>1. Since Hasselback is called out here, acknowledgement to our friends in Sweden @ the Hasselback Hotel are in order. Legend has it this dish was invented there.<br/>2. A lot of time can be saved arranging potatoes on their ends by taking a nice Yukon Gold, placing it in a wooden spoon (the spoony-end) and slicing till your knife hits the spoon. The tater stays together nicely at the bottom and it's very easy to handle. You can google this.",comment,72160042,1836,maybe_not_about_the_recipe,5,"10,804",neutral,Off-topic
20,Kenji López-Alt,https://cooking.nytimes.com/recipes/1023012-san-francisco-style-vietnamese-american-garlic-noodles,San Francisco-Style Vietnamese American Garlic Noodles Recipe,"As a Vietnamese immigrant whose parents owned a restaurant for decades in Denver, I would like to add another essential condiment/sauce in the canon of Vietnamese cooking called Maggi. My family makes this dish using Maggi and not fish sauce. Just thought I'd offer this up as another way to make these yummy noodles. Maggi, in its iconic curvaceous dark brown bottle, is not made of soy but wheat protein. You will often that tangy saltiness in Vietnamese sandwiches.",comment,59343663,1803,positive_user_describing_changes,4,"10,943",positive,Liked recipe but made changes
15,Priya Krishna,https://cooking.nytimes.com/recipes/1020728-homemade-hamburger-helper,Homemade Hamburger Helper Recipe,"This 4-serving gutbuster clocks in at over 1,100 calories per serving. I lightened it up by omitting the bacon, using half-and-half and 93% ground beef. I easily divided it into 6 servings with a salad on the side.",comment,67848693,1722,positive_user_describing_changes,4,"9,957",positive,Liked recipe but made changes
15,Priya Krishna,https://cooking.nytimes.com/recipes/1020728-homemade-hamburger-helper,Homemade Hamburger Helper Recipe,"Made as directed, following others' suggestions to cut down on the hot sauce. Delicious! And worked very well using gluten-free macaroni.
Although after spending a good hour and a half in the kitchen -- on a recipe inspired by a convenience product, of all things -- my teen son and I decided it would more accurately be titled ""Hamburger Complicater.""",comment,56741635,1705,thinks_recipe_is_flawed_due_to_cooking_time,4,"9,957",negative,Thought the cooking times were wrong
20,Kenji López-Alt,https://cooking.nytimes.com/recipes/1023012-san-francisco-style-vietnamese-american-garlic-noodles,San Francisco-Style Vietnamese American Garlic Noodles Recipe,"I keep a large bulb of garlic, roots intact, in a small vase (one that held a hyacinth bulb purchased at Aldi works well). Use the tall green shoots from the garlic instead of scallions to add flavor and greenery to any number of dishes. The roots that grow swirl in a lovely pattern in the bottom of the vase, and the bulb will continue to produce shoots for weeks.",comment,20474914,1654,positive_user_describing_changes,4,"10,943",positive,Liked recipe but made changes
36,Alexa Weibel,https://cooking.nytimes.com/recipes/1024062-roasted-white-bean-and-tomato-pasta,Roasted White Bean and Tomato Pasta Recipe,"This is a delicious recipe (I cooked it as written) hidden under bad planning. No reason it needed to arrive on the table lukewarm with a murder scene of dirty dishes in the kitchen. Bake the beans on a sheet pan as written - a quarter size is perfect. Bake tomato mixture in a large oven-proof skillet. Transfer skillet to cook top, add beans, then just scoop the pasta directly into the skillet with water clinging, adding more pasta water if necessary. 100% of sucs preserved with way less mess.",comment,34665760,1606,positive_user_describing_changes,5,"4,522",positive,Liked recipe but made changes
19,Priya Krishna,https://cooking.nytimes.com/recipes/1023785-magnolia-bakerys-banana-pudding,Magnolia Bakery’s Banana Pudding Recipe,Hey folks hurling judgement at strangers for using a mix: I’m a “scratch or die” baker but hands down the cookie I bake that sends people into orbit starts with a yellow cake mix and I’m fine with that. The most important ingredient in any recipe is love.,comment,77345777,1535,user_responding_to_other_user,4,"4,983",neutral,Commenter responding to other commenter
30,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023843-quinoa-and-broccoli-spoon-salad,Quinoa and Broccoli Spoon Salad Recipe,"Although this salad sounds great (with the exception of the cheddar, which I cannot eat) raw broccoli is not appealing. I always briefly parboil chopped broccoli then plunge in ice water to stop the cooking if I plan to use it in a salad. Not only does this improve the flavor, it brightens the color to a very pretty and palatable bright green.",comment,88387575,1504,positive_user_describing_changes,5,"7,206",positive,Liked recipe but made changes
25,Sam Sifton,https://cooking.nytimes.com/recipes/9558-takeout-style-sesame-noodles,Takeout-Style Sesame Noodles Recipe,"I have made this recipe scores of times over the years, often for a crowd.  I usually multiply the sauce recipe many times (I use a stick blender), and add a fairly minimal amount of the sauce to the noodles when they're still warm (I like DeCecco linguine -- I don't have a favorite Asian brand, and Italian pasta can always be reliably cooked to the proper tooth).  Chill the undersauced noodles until you are ready to serve, and then mix in as much extra sauce as you need -- no dryness!",comment,20386099,1500,positive_user_describing_changes,5,"12,461",positive,Liked recipe but made changes
19,Alexa Weibel,https://cooking.nytimes.com/recipes/1025325-creamy-spicy-tomato-beans-and-greens,"Creamy, Spicy Tomato Beans and Greens  Recipe","This is delicious! I used approximately 1/2 cup of Greek yogurt mixed with 1/2 cup of 1% low fat milk and it was a great substitute for heavy cream, and baby spinach instead of arugula. I’ll make this again.",comment,79269053,1472,positive_user_describing_changes,5,"12,771",positive,Liked recipe but made changes
30,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1023843-quinoa-and-broccoli-spoon-salad,Quinoa and Broccoli Spoon Salad Recipe,"A note on raw broccoli: Melissa Clark notes in her recipe for garlic broccoli salad with sesame dressing that the vinegar « cooks » the raw broccoli, kind of like happens with the fish in ceviche. I’ve tried it and it’s really good; it’s not like plain raw broccoli at all. I recommend that all the skeptics try it.",comment,80884092,1344,user_responding_to_other_user,5,"7,206",neutral,Commenter responding to other commenter
3,Emily Weinstein,https://cooking.nytimes.com/recipes/1017724-cheesy-hasselback-potato-gratin,Cheesy Potato Gratin Recipe ,"Excellent! Added a grated onion to the liquid/cheese mix for flavor. Made it through first 2 thirty minute bakings in advance. Then covered and chilled. Brought to the dinner, sprinkled cheese on top and did final baking of about 40 minutes at the meal (removed foil half way through.) Texture was great! I was worried because initially liquid barely covered bottom of pan, but juices came out with baking and it was perfect! Good crusty bits on bottom too. A real keeper of a recipe.",comment,66080367,1324,positive_user_describing_changes,5,"10,804",positive,Liked recipe but made changes
39,Alexa Weibel,https://cooking.nytimes.com/recipes/1020746-easiest-chicken-noodle-soup,Easiest Chicken Noodle Soup Recipe,"Really look forward to trying this recipe! 

Just one note: I always leave the noodles on the side and plop them in bowl first and pour soup over. I love leftovers and typically enjoy soup the next day but i hate when the noodles are left in there and breakdown. This method keeps it all still kinda 'fresh'.",comment,40726455,1323,positive_user_describing_changes,4,"9,619",positive,Liked recipe but made changes
3,Emily Weinstein,https://cooking.nytimes.com/recipes/1017724-cheesy-hasselback-potato-gratin,Cheesy Potato Gratin Recipe ,"I made this dish for Thanksgiving with sweet potatoes (not yams) to wild success. My family practically hoisted me upon their shoulders. When I called my mother a week later, she answered the phone without a hello: ""Those sweet potatoes were the best thing I've ever eaten.""
I said, ""Hi, Mom. How's everything?""
She said, ""God, those sweet potatoes were good.""
I give my full throated endorsement for this recipe. It can make you feel like a conquering hero.",comment,9272719,1311,positive_user_describing_changes,5,"10,804",positive,Liked recipe but made changes
8,Lisa Donovan,https://cooking.nytimes.com/recipes/1026766-french-lentil-salad,French Lentil Salad Recipe,"I grew up eating that as a cheap meal made with canned lentils, tomato, shallots, hard boiled eggs and vinaigrette made from the bottom of the moutarde à l’ancienne pot. 
It’s healthy and affordable and I now make it to my close ones here in the US. I sometimes add blood orange, fennel, cumin and flat parsley   mint to make it fancy.",comment,197104721,1281,positive_user_describing_changes,5,"3,836",positive,Liked recipe but made changes
11,Sam Sifton,https://cooking.nytimes.com/recipes/1020993-tofu-and-green-beans-with-chile-crisp,Tofu and Green Beans With Chile Crisp Recipe,"“Best tofu I’ve ever had!” declared hubby, and I agree: it’s perfection!  Instead of fussing with towels and plates and weights to drain the tofu, I took another reader’s tip (from a Japanese cooking show) and microwaved the sliced tofu in a bowl for three minutes on high.  Amazing how much water drained out, leaving the tofu with perfect texture to soak up the delicious marinade.",comment,60661637,1258,positive_user_describing_changes,5,"6,966",positive,Liked recipe but made changes
