,index,author,url,recipeRating,commentBody,ai_guess,groundtruth,commentType,userID,commentRecommendations
32397,17,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1027336-peanut-butter-and-jelly-pound-cake,4(114),"This was perfect. I used raspberry jam, but I can't think of a jam that wouldn't work here. The icing on top is great hint of sweetness.

It was so good, I had to give out slices to make sure I didn't eat the whole thing.",positive_user_describing_changes,positive_user_describing_changes,comment,150171772,0
30872,6,Vaughn Vreeland,https://cooking.nytimes.com/recipes/776535584-extra-tender-chocolate-chip-scones,5(316),Hate to reheat scones in microwave. Better in toaster oven or regular oven to maintain crunchy exterior! Diced apricot and crystallized ginger are the best add ins.,thinks_recipe_is_flawed_due_to_technique_or_equipment,thinks_recipe_is_flawed_due_to_technique_or_equipment,comment,105033914,1
93520,13,Alexa Weibel,https://cooking.nytimes.com/recipes/1026111-chantilly-cake-with-berries,5(349),Has anyone made this as a sheet cake?,question,question,comment,67561178,2
40138,20,J. Kenji López-Alt,https://cooking.nytimes.com/recipes/1023012-san-francisco-style-vietnamese-american-garlic-noodles,"4(10,943)","Just made this and it was so delicious.
I added mushrooms 🍄 to the recipe to make it a bit more substantial. So yummy and thank you for the amazing recipe!",positive_user_describing_changes,positive_user_describing_changes,comment,130201244,1
64993,12,Melissa Clark,https://cooking.nytimes.com/recipes/1027726-chewy-marmalade-oatmeal-cookies,5(534),"Made half-batch waiting for Lunar Eclipse at 6 am here in Maine. Sadly, the moon dropped below the tree line. But the cookies were delicious! Plenty of orange flavor with Trader Joe's Seville Orange marmalade. I did add a handful of unsalted, roasted pistachios, in chopped,  which added crunch.",positive_user_describing_changes,positive_user_describing_changes,comment,65443072,5
59698,21,Sam Sifton,https://cooking.nytimes.com/recipes/1020366-maangchis-cheese-buldak-fire-chicken,"5(5,581)",Made this the other night and it was much easier to make than I thought it would be. Heat was perfect and didn't overpower the flavor. There were no leftovers. This will go into the regular menu rotation.,positive_user_made_as_written,positive_user_made_as_written,comment,166584850,0
35745,36,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1024568-key-lime-pie,4(629),"Make the crust with Ginger Snaps (Nabisco, really) rather than graham cracker. The flavor rush is wonderful. You will never go back.",positive_user_describing_changes,positive_user_describing_changes,comment,91195619,1
2599,19,Alexa Weibel,https://cooking.nytimes.com/recipes/1025325-creamy-spicy-tomato-beans-and-greens,"5(12,771)","Little dry, would simmer less next time. 
Only had butter beans, worked great. 
Could double the red pepper to get more of a kick. 
Used half and half, worked great
Mozzetta sun dried tomatoes 
Good fresh tomatoes might be a nice addition",positive_user_describing_changes,positive_user_describing_changes,comment,129106012,6
48100,4,Emily Weinstein,https://cooking.nytimes.com/recipes/1016753-corn-risotto,"5(3,276)",Can I use vegetable stock?,question,question,comment,107432302,0
69832,1,Sohla El-Waylly,https://cooking.nytimes.com/recipes/1027227-mustardy-sheet-pan-salmon-with-greens,"5(1,291)",This recipe one me over; I''m now a fan of salmon! The maple sweet with the tangy flavors- so good. I only had baby spinach which didn't work out too well; next time will use chard which should be heartier. Thank you.,positive_user_describing_changes,positive_user_describing_changes,comment,33437141,1
69098,1,Tanya Sichynsky,https://cooking.nytimes.com/recipes/1024483-basque-cheesecake,"5(2,936)","In Northern Spain, I discovered that many cooks add a little blue cheese to the recipe. It tastes amazing!",positive_user_describing_changes,positive_user_describing_changes,comment,102053380,203
49007,3,Genevieve Ko,https://cooking.nytimes.com/recipes/1027064-golden-diner-pancakes,"5(1,087)",I added the zest of the lemon and juice from the lemon to the compote.  Amazing pancakes.,positive_user_describing_changes,positive_user_describing_changes,comment,84376237,3
50576,15,Genevieve Ko,https://cooking.nytimes.com/recipes/1027448-quick-turkey-chili,"5(1,023)","In answer to Judith's comment on canned lentils, I found them either at Trader Joe's or Sprouts if you have either of those stores in your state.",user_responding_to_other_user,user_responding_to_other_user,comment,84557139,3
38014,3,J. Kenji López-Alt,https://cooking.nytimes.com/recipes/1025123-macaroni-and-peas,4(746),I didn't use egg and added a little arugula at the end and it was delicious,positive_user_describing_changes,positive_user_describing_changes,comment,153845897,0
21714,30,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1024768-christmas-glazed-ham,4(312),"Do you think it would be safe to add a cup of water instead of checking it every 30 minutes, which doesn’t work when we are at a Christmas Eve service?",question,question,comment,56345928,1
27508,0,Kim Severson,https://cooking.nytimes.com/recipes/1019329-dolester-miless-lemon-meringue-tart,4(525),Way too much work. This is a lot of steps and bother for what you get.  there are way easier recipes for lemon tart on line.  I think the white chocolate is too sweet in it.  I made it for my husbands birthday because he loves lemon meringue pie and we were disappointed.,thinks_recipe_is_flawed_due_to_technique_or_equipment,thinks_recipe_is_flawed_due_to_technique_or_equipment,comment,58548096,1
33878,29,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026222-butterscotch-banana-cream-pie,5(439),"Even with weights and ceramic pan, my crust collapsed like Vaughan did in the video. But I could press it back up gently and it all worked out. Used rum and covered the slightly browned banana with cream. Will make again.",positive_user_describing_changes,positive_user_describing_changes,comment,79834457,1
