index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"Made this right after it was posted and used for the chess pie recipe. Worked really well for me with all of Vaughn's additional tips (watch the video!). Thank you Vaughn for the great video and recipe! This method and fat ratio is extremely similar to the book ""Sister Pie"" which is my normal go-to pie dough, but makes a bit more which is ideal for me (I like to have extra for decoration or if I mess up the rolling etc)",comment,65096996,55,positive_user_made_as_written,5,253,positive,Liked recipe and prepared as written
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,Will this work work gluten free flour?,comment,60592735,32,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,How long and at what temperature to bake this for once it’s ’ready to use’?,comment,90104442,25,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,If you want extra flaky pie dough use half lard and butter. Fresh rendered lard from a butcher or farmers market is the type of lard to use. Supermarket lard should be avoided,comment,65537845,15,positive_user_describing_changes,5,253,positive,Liked recipe but made changes
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"Maybe a novice's question, but how do you keep the pie crust from shrinking so much along the sides? I used sugar as a pie weight (with foil) as I didn't have beans.  This has always been an issue for me with crusts  no matter what weight used. Help!",comment,90764941,12,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"If you are making for the Coffee and Maple Chess Pie, cooking times are listed. 425 degrees, center rack. Line the firm dough with foil and fill with pie weights. 425 for 20 minutes. Remove foil and weights then cook for 20 minutes at 350.",comment,266110977,10,user_responding_to_other_user,5,253,neutral,Commenter responding to other commenter
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"ugh!  don't bother.  Crust was tough and not at all ""flaky"".  I had to make a second pie for Thanksgiving in order to have one to eat.  All the pastry chefs can turn up their nose at the mix and roll folks, but I get a flaky crust every time.  As Mother said, mix in the water a little and then ""stop handling it""...",comment,77322867,9,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,Anyone have trouble with the crust being tougj and chewy?,comment,73427383,8,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,Can you freeze this and use?,comment,87876276,6,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"I used this for the Sesame Swirl Pumpkin Pie and it was awesome! Super buttery and flaky. But the bottom layer was almost impossible to cut through.  I followed the instructions , but wondering if my oven may run a little warm and I should cut a few min off of the par-baking next time? Bit of a novice with pies so open to feedback. Thanks!",comment,95193044,6,thinks_recipe_is_flawed_due_to_cooking_time,5,253,negative,Thought the cooking times were wrong
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,I would sure love to see this process on video!,comment,59839207,5,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,Remember to roll out the dough so it’s very thin but able to be handled.,comment,48441539,5,maybe_not_about_the_recipe,5,253,neutral,Off-topic
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"I found this recipe to turn out quite tough, especially on day 2. However, I applied his lamination technique to my usual pie dough recipe (Alison Roman's from Dining In), which is similar to his but uses less flour and water for the same amount of butter. It created beautiful flaky, 5-star dough.",comment,70712988,5,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"I am concerned about the plastic wrap, which is very polluting.  Could the dough be chilled in a covered glass dish?",comment,73825851,4,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"Oh, dear.  I followed this as precisely as I could and it shrunk and turned greasy.",comment,81478884,4,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"This crust shrunk considerably more than when I do a half butter / half shortening crust.  I love the idea of the lamination technique, so next time will use this technique with my tried and true half/half crust recipe (from PIE).",comment,79794595,4,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"2/3 Cup water is 158 grams, NOT 115 grams",comment,56990734,4,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"What does he mean in using the the phrase “press into a round?”  Is a “round” a disk, a sphere, or a flying saucer shape?",comment,44865055,3,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,Is it me or is this a recipe for biscuits? Except I would use lard and buttermilk vs the butter and vinegary ice water.,comment,71041937,2,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"I can’t wait to make this, thank you :) any ideas on what to sub for heavy cream if I’m opting to go plant-based?",comment,77640582,2,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,Delicious and I like a thinner crust.,comment,105514285,2,positive_user_describing_changes,5,253,positive,Liked recipe but made changes
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,My grandmother from the farm in Ohio made the best pie crusts using these ingredients.,comment,32099710,1,maybe_not_about_the_recipe,5,253,neutral,Off-topic
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,I usually sub in about a third vegetable shortening for butter in pie crust. Will that work with this recipe?,comment,28278457,1,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,does anyone have a good substitute for apple cider vinegar? i unfortunately have an apple allergy :(,comment,100806062,1,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"Just made the dough; what a great way to incorporate the butter flour water! Much more precise and easy to handle than my old way which was ""hit or miss"". The rounds are in the fridge until T-Day morning. Looking forward to the bake! Thanks for the video.",comment,62408622,1,positive_user_made_as_written,5,253,positive,Liked recipe and prepared as written
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,It took me a minute to understand what to do with the quarters of dough. I think they mean cut the square in half and set one half aside. Cut the other half in half again and stack. Pat into a square and cut that half in quarters. Stack all four quarters and roll in a circle. Then take the set aside half and do likewise.,comment,7368991,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"I did one of this recipe and one with the Cuisinart processer. C's recipe is identical except for baking powder instead of vinegar, no sugar. 
This recipe. I got tired of hand blending and used a pastry blender. Likely used too much liquid. It was alarmingly stretchy & rubbery rolling out. With processer next.  I decided to laminate and bop it with the pilling pin also. It did hold together rolling out.
Both had hard flakes. Doesn't matter if its processed. Its the hitting. Not as good, IMO",comment,28278457,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"Ran out of allowable text in my last. I used, as always, a third vegetable shortening and two thirds butter. I think pie crust has a more tender texture if you dont mess around laminating and hitting it with a rolling pin. My family could care less but I'll go back to the old way next time.",comment,28278457,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,Not to be dramatic but this produced the best pie crust I’ve ever tasted,comment,63400701,1,positive_user_made_as_written,5,253,positive,Liked recipe and prepared as written
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"I made this dough and used it for the chocolate pie we eat every Thanksgiving. 
I agree with the commenter who said it would be helpful to have cooking instructions with the dough so you don't have to go to another recipe to find out what to do.
The pie came out beautifully and I'll use this pie recipe going forward.",comment,72871360,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"After years of thinking I was good at making pie crust, I’d had some recent setbacks. I wanted to try new recipes and techniques. This is now my new favorite, and I’m so glad I found it.",comment,86878555,1,positive_user_made_as_written,5,253,positive,Liked recipe and prepared as written
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"I think my butter flakes were too big. It was as definitely flaky, but it slumped horribly during the blind bake, even though it was frozen for hours beforehand. Overall, I’ll go back to Genevieve Ko’s food processor method. It may not get the flakiness, but it’s easier for a reliable crust.",comment,78051126,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,253,negative,Didn't like recipe due to technique or equipment
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,Question: Does this recipe make a bottom and top crust for one pie or does it make enough pie crust for two pies - bottom and top? Thank you!,comment,66830537,0,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,Can you do this in the food processor? The pie crust I usually make ( from nyt) I do in the processor!,comment,73442683,0,question,5,253,neutral,Commenter asking a question
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"Here's the video: 

<a href=""https://youtu.be/WxVKqUtVnjo?t=1500&feature=shared"" target=""_blank"">https://youtu.be/WxVKqUtVnjo?t=1500&feature=shared</a>",comment,55475733,0,maybe_not_about_the_recipe,5,253,neutral,Off-topic
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,"Made a combined version of Ali Slagels Creamed Greens Pot Pie, with some Mary Berry's Leek and Potato Pie thrown in. Divine.  Basically, made a covered pot pie with leeks, greens, mushrooms and potatoes in Mornay sauce. Parbaked the bottom a bit and just dropped the top round on after filling. The pastry is decadent, airy, light and puffy. It took a little more ice water than called for, but I live in CA, so could just be the dry air here. Definitely my new goto pastry.  Thanks Vaughn!!",comment,69181695,0,positive_user_describing_changes,5,253,positive,Liked recipe but made changes
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,What is the mass of the salt in grams? There is a significant difference in the densities of different brands of Kosher salt.,comment,28855557,0,question,5,253,neutral,Commenter asking a question
