index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"One of my favorite salads for years and I always order it when I find it in a resto. However, a few years ago I dropped the breading and frying of the chevre. Instead, I simply heat part of a log of goat cheese in the oven or microwave with olive oil and fines herbs. Then I plunk the warm soft chevre on my dressed greens and eat with crusty bread. For me, it's the same or even better and reminds me of my years living in Paris.",comment,43174126,211,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"A recipe that comes with such an interesting and well written background story behind it makes it all the more enticing. I'm looking forward to making this soon. The dental floss is a practical touch as a stand in for the wire often used at cheese counters, and I laughed at ""unflavored"" as I entertained (and subsequently dismissed) the idea of using mint flavored floss!",comment,54057510,107,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,Sherry vinegar is much better than red wine vinegar in this recipe,comment,83619833,105,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,Add sliced warm beets too!,comment,67098994,97,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"The essay accompanying this recipe was beautiful, and I can't wait to try this salad sometime soon!",comment,88173855,76,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"Love this story, totally adds to the simple romance of the dish. I might add a poached egg or two as well when I make it.",comment,48034571,62,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,Great story about why we travel and how the history and culture of a Place can be found on the plate and in the glass. One of the reasons I love New York City is the availability of foods and drink that can allow me to recreate a meal that I enjoyed elsewhere in the world and of course good writing also does this. Thank you for both the article and the recipe.,comment,68991994,54,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"“In the maze of the old quarter, we sat at a table outside, on stone stairs descending from another century.” 

I am rarely in the kitchen as it is my husband’s domain, however, a version of this recipe has long been my contribution to our dinner parties.",comment,13722722,51,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,This reminds me to try and thank all the kind people who helped me when I was a young traveler,comment,75706901,26,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,Excellent. I just finished it! Followed the recipe exactly and my only regret is that I didn’ make more.,comment,21282535,24,positive_user_made_as_written,5,683,positive,Liked recipe and prepared as written
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"Thanks for sharing! I like mine with lemon juice, a bit of honey, minced garlic and the lemon zest. EVO of course!",comment,50117170,21,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"Nice salad
Great story",comment,32866818,20,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,Beautiful essay/intro. Should be expanded into a novel.,comment,89153317,16,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,Chopped apricots and hazel nuts make the salad first class without being fussy.,comment,78393908,6,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"Make salad dressing in mostly empty dijon mustard jar, or with the dregs of the mustard in the jar. Eyeball the oil & vinegar, salt & pepper, whatever extra herbs (fine or not), give a good shake. Oh, and a pinch of sugar (gasp!!!) Extra keeps in fridge for weeks-just keep adding to it.",comment,69505065,5,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"I love this story. It reminds me of when I was young and traveling on my own, always with low funds. I have made this recipe for many years, and guests are always amazed at how delicious it is, yet so simple. I've never used the egg mixture, but it makes sense...and after patting them with the bread crumbs, I put the little cheese rounds in a toaster oven...my go-to kitchen appliance. And thanks for the idea of sherry vinegar instead of red wine vinegar, which I don't use much any more.",comment,62672222,5,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"I first had this salad years ago at Alice Waters' Berkeley restaurant Cafe Fanny.  We've been making it at home ever since, a version very close to this recipe, even down to the dental floss.",comment,71780406,3,positive_user_made_as_written,5,683,positive,Liked recipe and prepared as written
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"""In the maze of the old quarter, we sat at a table outside, on stone stairs descending from another century.""  Yes, she got me there, too. Just happens I have fresh fromage from the chèvre at hand, market greens, shallots, and a glass of red reminding me of those sunlit evenings in France, Italy, and Spain ... and the people who shared laughter, wisdom, and so many stories. I raise my glass to them, in quiet, wistful gratitude. Merci, Grazie, Gracias!",comment,58711221,3,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"That hint about the fresh thyme leaves in the bread crumb mixture really kicked it up to the
next level!",comment,174545225,3,positive_user_made_as_written,5,683,positive,Liked recipe and prepared as written
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"Delicious, easy, simple, classic elegance. She is the moment. This dressing is fantastic in its flavor profile and, again, simplicity, and will be regularly in the rotation now.",comment,55152009,2,positive_user_made_as_written,5,683,positive,Liked recipe and prepared as written
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,I just made this tonight.     Had a balsamic dressing already made.  Did the goat cheese as instructed.    Added fresh pear (ala the 80's).   thinly sliced shallots.     Mixed lettuces.,comment,78156871,2,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,Great salad.  I had one today in Cahors.,comment,63589080,1,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,Made this.  Quite good and doesn't take much to cut the recipe down to a single serving.  Best buy on goat cheese is at Costco if one is near - less than half the price of other retailers.  Good stuff.  I like the addition of beets but I'd probably used canned beets.,comment,653405,1,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,This is a delightful article - I'll be looking for more from Ms. Mishan!  And this is one of my fav salads. She has inspired me to make it tonight.,comment,27537981,1,maybe_not_about_the_recipe,5,683,neutral,Off-topic
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,"Nothing takes me back to the joys of eating in France like le salade de chevre chaud. I usually just make little chevre toasts in the microwave, but this is a fabulous alternative.  I usually favor white wine vinegar, and add egg and/or walnuts for my own trip down memory lane.  Thanks so much!",comment,65376457,1,positive_user_describing_changes,5,683,positive,Liked recipe but made changes
22,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024570-green-salad-with-warm-goat-cheese-salade-de-chevre-chaud,Green Salad With Warm Goat Cheese (Salade de Chèvre Chaud) Recipe,Such a lovely essay to go with a favorite salad. Can't wait to try this home version.,comment,30661739,1,maybe_not_about_the_recipe,5,683,neutral,Off-topic
