index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,Could this be made with Greek yogurt instead of mayo?,comment,58810866,278,question,4,"1,404",neutral,Commenter asking a question
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,To all the cooks who want to substitute or eliminate the anchovies: DO NOT make this dip. The anchovies in this recipe don’t taste fishy. They are the secret Unami bomb that makes this dip so incredibly tangy and delicious.,comment,25021825,268,user_responding_to_other_user,4,"1,404",neutral,Commenter responding to other commenter
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"This is the most delicious dip and definitely a keeper.  Not being a mayo fan, I used a 1/4 cup of mayo and subbed a large ripe avocado instead.  It's a healthier alternative and the results are very tasty, umami goodness.",comment,57923638,167,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"For heaven's sake, people, just use good mayonnaise. It's a dip- if there is no fat, there will be no taste. It's a party, or you wouldn't be making hors d'oeuvres. Make it taste good and don't eat too much!",comment,58397737,151,thinks_recipe_is_flawed_due_to_flavor,4,"1,404",negative,Didn't like recipe due to flavor
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"Not an anchovy fan, have you ever made this with something else?  Vegan or meat option perhaps?",comment,78475094,147,question,4,"1,404",neutral,Commenter asking a question
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"Awesome dip. Made it exactly as written. Turned out great.  It's definitely on my favorites rotation dip recipes. What a recipe. Thanks. 
Understand why someone would try and bribe to get this recipe.",comment,58635885,140,positive_user_made_as_written,4,"1,404",positive,Liked recipe and prepared as written
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"I have had a similar recipe to this that a dear friend gave me 35 yrs. ago.  I make it with a brick of cream cheese, 1 C. Mayonnaise, Anchovy paste, a clove of garlic & green onions. Fabulous. And nobody would ever guess that there are Anchovies in it.",comment,96250404,96,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"For those who love the anchovy umami effect but are fresh out of anchovies: fish sauce is mostly anchovy, and works in a pinch.",comment,71785017,83,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"In dips and dressings, the anchovy is usually not identifiable as such. Even the most staunch fish-hater would not be able to taste it. If you don't tell them it's there, they won't notice anything other than the delicious umami flavor.",comment,85717338,77,maybe_not_about_the_recipe,4,"1,404",neutral,Off-topic
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"Make it with mayonnaise and just eat three tablespoons of it. Then decide.  Mayo and yog don't have same characteristics. 

and to ""Not an anchovy fan"" - make this anyway and taste it before you say you don't like it.   Most anchovy recipes taste completely DELICIOUS in a seemingly undefinable way.... I never tell anyone there's anchovy in my vitello tonnato recipe - I don't have time to because they eat it so fast, just after saying they don't like anchovies.",comment,62251749,70,user_responding_to_other_user,4,"1,404",neutral,Commenter responding to other commenter
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,Fond memories of The Store in East Hampton early 70s. I used to work in East Hampton in the summers as a nanny and cooked for the family. But I also lived on Long Island so my parents would go there occasionally when they were in the Hamptons. I remember Bert Greene's Ziti pasta salad. Was soooo good.,comment,56153734,46,maybe_not_about_the_recipe,4,"1,404",neutral,Off-topic
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"For Stephanie - if you want a substitute for anchovies I once substituted miso paste for a couple of vegetarian friends, and it was really good!  (Personally I adore anchovies, but I like to keep friends happy, too!)",comment,81678155,43,user_responding_to_other_user,4,"1,404",neutral,Commenter responding to other commenter
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"Don’t be afraid of adding anchovies, even when you don’t like them. In a sauce like this they enhance the flavor and won’t turn it in to “anchovy” sauce. I’d use 1/3 mayo and 2/3 whole milk yogurt. Can’t wait to try it...today.",comment,33934879,42,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"Even better than yogurt is the dip made ground raw cashews. You need a really good blender, Vitamix is the best. Grind 1/2 cup of cashews into a sandlike consistency. Add all the other ingredients and maybe 3/4 cup of water. Blend a little  and let sit 15 minutes. Then blend until smooth. Add water if it’s too thick.",comment,38305675,33,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"Definitely some garlic, pounded with salt to a paste to dissolve into the background! Maybe twice the capers, a little basil... and home-made mayo with olive oil to take it up a step if there's enough time. Then devil some eggs with a little of it to go with the retro-tray of veggies. Delicious.",comment,80551602,26,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"Answer re:  Yogurt sub for Mayo
I have subbed Greek yogurt to Mayo 50% - 50% w/ several recipes/dressings & it generally works well. You may have to adjust to your taste.
Enjoy!",comment,69587573,25,user_responding_to_other_user,4,"1,404",neutral,Commenter responding to other commenter
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"I was freaked out at how much anchovy this called for, but NYT never lets me down, so I went for it. This vibrant dip was a huge hit. No one knew it was anchovy until I told them (and then it clicked). I tossed in the remainder of some plain yogurt I had that I didn't want to go to waste, and I think next time I'll do half and half with yogurt/mayo. I like mayonnaise, but it's a strong flavor here. I made it the day before and it held up great - didn't break, stayed a nice light green color.",comment,13768838,24,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,Because I didn't have shallot or chives on hand I used one medium sized scallion and substituted vegenaise for mayo.  I also used flat leaf parsley and upped it to a scant cup.  Delicious!,comment,81640225,23,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"In this sort of context, anchovies are like fish sauce -- they disappear as an identifiable ingredient but add impressive depth of flavor. While I would never mislead someone about what was in something I served, I think you might try the recipe as written and see if anchovy-haters will agree that it's good.",comment,1404987,21,user_responding_to_other_user,4,"1,404",neutral,Commenter responding to other commenter
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"I made this the other day and it's wonderful. The anchovies (I used best quality Cantabrian ones from Spain) and the anchovy oil make this dip sing. I made my own quick mayo from scratch but next time I'll try good store bought for comparison.

If anyone wants to see how I presented the dish check out my insta link: 
<a href=""https://www.instagram.com/p/B14ei6hHQIN/?utm_source=ig_web_button_native_share"" target=""_blank"">https://www.instagram.com/p/B14ei6hHQIN/?utm_source=ig_web_button_native_share</a>",comment,69645463,20,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"This sounds amazing, I love all the ingredients. Can't wait to hit my local farmers market now!",comment,80291924,11,maybe_not_about_the_recipe,4,"1,404",neutral,Off-topic
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,1 container 5% Chobani Greek yogurt + 1 small avocado subbed for mayo. Delicious!,comment,39383481,11,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"I'm allergic to seafood, including anchovies, to which I'm especially sensitive. Can you recommend a substitute, or do those of us with such allergies just have to skip this one? (Also - note to other cooks, please warn guests if you use anchovies, anchovy paste, or even Worcestershire sauce to flavor foods where this is not expected. I see the ingredient creeping into more and more recipes as a flavor enhancer, but many are allergic to seafood, including anchovies.) Thanks!",comment,80274269,11,question,4,"1,404",neutral,Commenter asking a question
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,"If you're looking for a little balm for the soul, Bert Greene's cookbooks are just that. His intros to each recipe are kind and funny vignettes that capture the best of people and the food they create. He was a lovely man.",comment,71797355,11,maybe_not_about_the_recipe,4,"1,404",neutral,Off-topic
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,Do not use a regular size Vitamix jar because there is not enough substance to “Almost liquefy”. I had to switch to a mini food chopper in order to get the anchovy mix to the correct consistency.,comment,81989700,11,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,"1,404",negative,Didn't like recipe due to technique or equipment
20,Sam Sifton,https://cooking.nytimes.com/recipes/1020427-the-stores-green-dip,The Store’s Green Dip Recipe,I have been making this dressing since the book was published and I would opt for scallions over chives every single time!,comment,166067609,10,positive_user_describing_changes,4,"1,404",positive,Liked recipe but made changes
